Product,CAGR,Period,CMGR
Cream Cookie - chocolate vanilla (gluten free),,2,52.752523165194674
Creamy Buckwheat (Organic),,1,0.0
Creamy soda,,17,0.0
Crispy red four seasons lettuce ( aquaponic ),,17,0.0
Crunchy coconut granola / 340g,,33,5.579679890834166
Cuban aubergine / Default,,33,6.559761975614453
Cucumber,,25,6.008981034201666
Cucumber ( chemical free ),,19,19.658562921499502
Cucumber (chemical free),,11,38.70589304244707
Cucumber (organic),,4,24.871370216169097
Cucumber - Chemical free / 500g,,36,0.0
Cucumber / 500g,,38,4.86958017857817
Cumin,,19,8.83984007303873
Curly frise lettuce,,19,25.47022480444752
Curly frise lettuce (chemical free),,5,11.429976553057063
Curry powder,,16,13.36618233993665
Dairy Free Cheese (frozen),,1,0.0
Dame al cacao biscuits ( gluten free ),,16,7.107548307291456
Dandelion Root Powder (organic) - local,,4,31.60740129524924
Dandelion root powder,,33,8.082618857795843
Dark chocolate ( organic ) - 92% cacao,,16,4.4273782427413755
Dark chocolate (organic ) - 71% cacao,,17,16.793667514165158
Dark chocolate with cappuccino ( organic ),,19,0.0
Dark chocolate with cranberry ( organic ) - 70% cacao,,17,16.211410311641707
Dark chocolate with green tea and mango ( organic ),,20,10.132076058583127
Dark chocolate with mint ( organic ),,20,5.6786532152879765
Date Hayani,,13,5.476607648164666
Date jam with almonds & cloves (natural),,3,14.471424255333186
Date zaghlool,,13,2.2376061343984732
Dates (Iraqi),,4,40.917498862125434
Dates (barhi),,2,144.9489742783178
Dates (za3'loul),,33,3.38516372166493
Digestive biscuits with chocolate ( gluten free ),,19,15.202964650616014
Dill,,18,2.2781461820273075
Dill ( Chemical free ),,13,12.225640844399654
Dill (chemical free),,5,3.0415846929681356
Disco Ciok ( gluten free ),,24,13.589644266575252
Dried Blueberries / 250g,,38,8.202583782587158
Dried Coconut (Whole sale) / 1kg,,28,2.5064211965874605
Dried Cranberry / 250g,,38,5.44547025652391
Dried Currants / 250g,,38,1.8408093274101978
Dried Dates (Kheir Misr) / 500g,,34,4.161601065058385
Dried Dates - Kheir Misr / 500g,,38,4.537839445442637
Dried Figs / 250g,,38,4.828087970997763
Dried Goji Berries,,13,23.806576078229426
Dried Goji Berries / 250g,,38,7.165643988077086
Dried Kiwi (chemical free),,16,19.17217752384537
Dried Mushroom (chemical free),,13,20.10357730703547
Dried Prune with Pits / 250g,,38,3.7155044446191887
Dried apple ( chemical free ),,5,25.594321575479007
Dried apple ( chemical free ) / Default,,19,10.299346764467154
Dried apricots ( chemical free ),,18,17.761611635673734
Dried apricots / 250g,,38,12.267124808449692
Dried apricots 250g,,5,4.5190056473137785
Dried banana (chemical free),,15,24.47328779943849
Dried bay leaf ( chemical free ),,14,25.17997372609566
Dried blueberries / 250g,,34,13.587438053989697
Dried blueberries 250g,,5,17.149824442988294
Dried cherry (chemical free),,15,26.26103234286472
Dried cranberries / 226g,,33,3.8692295933750787
Dried cranberry,,5,27.09848247232025
Dried cranberry / 200g,,34,18.53381873544786
Dried cranberry 200g,,6,88.3168335476881
Dried dates ( chemical free ),,17,26.16857469409004
Dried figs ( Chemical free ),,13,10.670353587935288
