Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,5.946309435929531,24.0,0.0012437708002040796,1214.2495321019405,308.7999375010789,-97.69404893642164,0.0010480073217894513
BABY SPINACH (CHEMICAL FREE),0,Vegetables,6882.162369,2552.162369,65.75516789195916,12.0,0.3057083070294833,1214.2495321019405,308.7999375010789,466.78320123266207,0.44578080818458526
BABY SPINACH(CHEMICAL FREE),0,Chemical free vegetables,651.95,150.45,11.01130155148673,18.0,0.028959870471180347,1214.2495321019405,308.7999375010789,-46.30840014643164,0.026278783593870488
BABY SPINACH(CHEMICAL FREE),0,Vegetables,397.8,108.80000000000001,27.23483826611981,12.0,0.017670429440042244,1214.2495321019405,308.7999375010789,-67.23902381816168,0.019003866101782053
BABY STRIPED AUBEGENE,NGS,Fresh vegetables,12.5,5.0,0.0,21.0,0.0005552548215196784,1214.2495321019405,308.7999375010789,-98.97055756090252,0.0008733394348245428
BABY SWEET CORN,NGS,Fresh vegetables,47.52,0.0,2.933282505624746,38.0,0.002110856729489209,1214.2495321019405,308.7999375010789,-96.086471623527,0.0
BABY YELLOW CARROTS,Kheir Misr,Fresh vegetables,453.49,106.92,4.938649142658202,40.0,0.020144200720876713,1214.2495321019405,308.7999375010789,-62.65265186349457,0.01867549047428802
BABY YELLOW ZUCCHINI,NGS,Fresh vegetables,175.0,37.0,1.4736758555106588,23.0,0.007773567501275497,1214.2495321019405,308.7999375010789,-85.58780585263523,0.006462711817701617
BABY YELLOW ZUCCHINI (CHEMICAL FREE),0,Vegetables,220.0,68.33,7.430929827963428,11.0,0.00977248485874634,1214.2495321019405,308.7999375010789,-81.8818130718843,0.011935056716312202
BAGUETTE,NGS,Bread&Bakry,6.5,6.5,0.0,31.0,0.0002887325071902327,1214.2495321019405,308.7999375010789,-99.46468993166931,0.0011353412652719056
BAGUTTE BROWN,NGS,Bread&Bakry,7.5,7.5,0.0,31.0,0.000333152892911807,1214.2495321019405,308.7999375010789,-99.3823345365415,0.001310009152236814
BAKING SODA (PURE),0,Baking products,7.0,1.46,0.0,11.0,0.0003109427000510199,1214.2495321019405,308.7999375010789,-99.42351223410542,0.0002550151149687665
BAKING SODA (PURE),0,Baking supplments,42.0,8.76,0.0,18.0,0.0018656562003061192,1214.2495321019405,308.7999375010789,-96.54107340463246,0.001530090689812599
BAKING SODA / 453G,Bob's Red Mill,Baking supplments,1354.5,262.0,10.335007377701366,40.0,0.060167412459872345,1214.2495321019405,308.7999375010789,11.550382700603334,0.04576298638480604
BAKING SODA 453G,0,Baking products,2610.0,662.5,18.066441604138305,11.0,0.11593720673330883,1214.2495321019405,308.7999375010789,114.94758128355461,0.11571747511425191
BALADY BREAD (WHOLE GRAIN),NGS,Bread,2151.160656,724.950656,12.868275697239696,22.0,0.09555538608859473,1214.2495321019405,308.7999375010789,77.15968580825465,0.12662559923734432
BALADY EGGS ( CHEMICAL FREE ),NGS,Eggs,8299.0,1737.0,22.545987319973328,26.0,0.36864478110334487,1214.2495321019405,308.7999375010789,583.4674241656014,0.30339811965804614
BALADY EGGS (CHEMICAL FREE),0,Eggs,2764.815094,624.315094,21.50334161913534,18.0,0.12281415292431061,1214.2495321019405,308.7999375010789,127.69743952167188,0.10904779826927827
BALADY EGGS (ORGANIC),0,Eggs,10956.840261,2731.840261,58.374790890043585,12.0,0.48670707068329444,1214.2495321019405,308.7999375010789,802.3549090468281,0.4771647659145342
BALADY LETTUCE (CHEMICAL FREE),0,Vegetables,60.0,17.5,4.753385601472959,11.0,0.002665223143294456,1214.2495321019405,308.7999375010789,-95.05867629233208,0.0030566880218859
BALADY RAW HONEY,NGS,Honey,2708.0,611.3,9.065399149592302,23.0,0.12029040453402312,1214.2495321019405,308.7999375010789,123.01841000607888,0.10677447930164859
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Chemical free poultry ,3169.8,732.05,12.393203464175318,18.0,0.14080373866024612,1214.2495321019405,308.7999375010789,161.0501314760963,0.1278656266526613
BALADY WHOLE CHICKEN(CHEMICAL FREE),0,Poultry,5725.0,995.0,0.0,11.0,0.2543067082560127,1214.2495321019405,308.7999375010789,371.48463710664754,0.173794547530084
BALADY WHOLE CHICKEN(CHEMICAL FREE) / DEFAULT,0,Poultry,20283.363693,4123.363693,45.382862212839555,12.0,0.9009948389740351,1214.2495321019405,308.7999375010789,1570.4444314578611,0.7202192234441319
BAMBOO SUSHI MATT,NGS,Japanese cuisine,41.5,8.25,0.0,24.0,0.001843446007445332,1214.2495321019405,308.7999375010789,-96.58225110219635,0.0014410100674604955
BANANA,Kheir Misr,Fresh vegetables,4694.363487,805.583487,11.809723596282783,40.0,0.2085254368098144,1214.2495321019405,308.7999375010789,286.60615984539584,0.1407095654481129
BANANA / 500G,NGS,Fresh Produce,675.62,156.04,3.213000158085566,45.0,0.030011301001210005,1214.2495321019405,308.7999375010789,-44.35904794375664,0.027255177082004332
BANANA BREAD (GLUTEN FREE) - TRACES OF GLUTEN,0,Snacks,332.5,175.0,10.242515186512602,11.0,0.014769778252423444,1214.2495321019405,308.7999375010789,-72.61683112000694,0.030566880218858998
BANANA BREAD WITH WALNUTS AND CINNAMON (GLUTEN FREE),0,Bread,300.0,75.0,0.0,7.0,0.01332611571647228,1214.2495321019405,308.7999375010789,-75.29338146166039,0.013100091522368141
BANANA CHIPS,0,Dried fruits,559.3,109.3,10.419117039553738,11.0,0.024844321734076486,1214.2495321019405,308.7999375010789,-53.93862750502219,0.019091200045264507
BANANAS,NGS,Fruits,644.6210639999999,410.241064,0.0,5.0,0.02863431630713161,1214.2495321019405,308.7999375010789,-46.911977566577995,0.07165593979511581
BANANAS ( IMPORTED ),NGS,Fresh fruits,2160.0,425.4,12.427862013210511,23.0,0.09594803315860041,1214.2495321019405,308.7999375010789,77.88765347604519,0.0743037191148721
BANANAS (CHEMICAL FREE),Balaika,Chemical free fruits,964.0,340.1,3.7447942366031883,17.0,0.042821251835597596,1214.2495321019405,308.7999375010789,-20.609399096802058,0.059404548356765396
BANANAS (CHEMICAL FREE),NGS,Fruits,1312.0,486.86,0.22473043743569399,11.0,0.05827954606670544,1214.2495321019405,308.7999375010789,8.05027840767189,0.08503880744773538
BANANAS (IMPORTED),NGS,Fruits,4775.651687,1318.6216869999998,20.367596802935072,11.0,0.21213629000842685,1214.2495321019405,308.7999375010789,293.30068167562337,0.23032086377439298
BASIL,Tropical Heat,Condiments,10.0,3.0,0.0,24.0,0.0004442038572157427,1214.2495321019405,308.7999375010789,-99.17644604872201,0.0005240036608947257
BASIL / DEFAULT,0,Condiments,10.0,10.0,0.0,20.0,0.0004442038572157427,1214.2495321019405,308.7999375010789,-99.17644604872201,0.0017466788696490856
BASIL LEAVES,0,Herbs and spices,39.0,17.0,17.141017013059013,8.0,0.0017323950431413963,1214.2495321019405,308.7999375010789,-96.78813959001586,0.0029693540784034456
BASMATI BROWN RICE ( ORGANIC ) / 907G,Lundberg Family Farms,Rice,5634.3,1181.9,13.174002870118962,40.0,0.25027777927106587,1214.2495321019405,308.7999375010789,364.0150027685562,0.20643997560382543
BASMATI BROWN RICE ( ORGANIC ) 907G,0,Rice,1910.7018420000002,410.701842,15.361823195204071,9.0,0.08487411282056247,1214.2495321019405,308.7999375010789,57.356605169322805,0.07173642291473574
BASMATI RICE ( WHITE ),0,Rice,525.0,105.0,4.098420212322962,11.0,0.02332070250382649,1214.2495321019405,308.7999375010789,-56.76341755790569,0.018340128131315397
BATAW CRACKERS WITH SPICES,NGS,Bread,180.0,36.0,6.504108943996267,22.0,0.007995669429883369,1214.2495321019405,308.7999375010789,-85.17602887699624,0.006288043930736708
