Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Muesli with branberry and strawberries ( organic ),221005,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,109,42,213,6414.386414,4648.61,1765.776414,0.275284,0
Apple cider vinegar ( organic ),103480,,"Eden Foods, Inc.",HV,Vinegar,,0,0,0,0,0,0,0,0,1,6,1,7,4,3,6,0,0,0,6,6,1,9,3,0,0,12,7,8,5,9,31,25,23,3,0,0,0,0,0,0,176,6313.1,4485.56,1827.54,0.289484,0
Hurom slow juicer,271001,,,Hurom,Home appliance,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6250,4662,1588,0.25408,0
Brown rice spaghetti ( American ) - gluten free - organic,00620-1,,Lundberg Family Farms,HV,Pasta,,0,0,0,0,0,0,0,0,1,2,6,6,4,6,5,1,0,2,6,4,2,7,3,2,4,12,11,0,0,5,8,18,9,3,0,0,0,0,0,0,127,5982.15,4630.5,1351.65,0.225947,0
Goji berries,221003,,,Good life,Dried fruits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,66,6,111,5966.571959,3751.38,2215.191959,0.371267,0
Salmon steak,451001,,,Red Coral,Sea Food,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,26,22,97,5958.2,3880,2078.2,0.348797,0
Brown rice ( Egyptian ),PremiumBrownRice,,Kheir Misr,IMN,Rice,,0,0,0,0,0,0,0,0,0,20,14,16,7,20,19,8,4,10,3,8,3,9,17,13,12,7,28,36,50,52,63,75,75,24,0,0,0,0,0,0,593,5771.35,4199.99,1571.36,0.272269,0
Balady Whole Chicken(chemical free),501005,,,Tabiey,Poultry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,5725,4730,995,0.173799,0
Chicken Cutlets (Shishtawook),ChickenCutletsShishtawook,,NGS,Butcher,Fresh poultry,,0,0,0,0,0,0,0,0,0,4,7,10,6,5,8,3,0,6,2,2,1,1,4,2,3,3,13,7,5,3,8,7,7,7,0,0,0,0,0,0,124,5658.7,4592,1066.7,0.188506,0
Basmati brown rice ( organic ),40152EF,,Lundberg Family Farms,HV,Rice,,0,0,0,0,0,0,0,0,1,3,6,2,4,7,3,0,1,8,6,5,8,2,0,1,0,12,8,6,10,10,12,7,12,3,0,0,0,0,0,0,137,5634.3,4452.4,1181.9,0.209769,0
Hamburger (chemical free) - frozen,Hamburgerchemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,13,20,21,32,14,0,0,0,0,0,0,0,127,5488,3605.6,1882.4,0.343003,0
Whole Chicken (chemical free),WholeChickenchemicalfree,,,Yasmine organic,Chemical free poultry ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,62,3,0,0,0,0,0,0,113,5481.9,4322.25,1159.65,0.211542,0
Beef cubes (chemical free) - frozen,151001,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,3,93,5470,3953.91,1516.09,0.277165,0
Raw sunflower seed ( shelled ),1526C204,,Bob's Red Mill,HV,Seeds,,0,0,0,0,0,0,0,0,0,2,5,5,2,1,0,0,0,7,3,3,1,7,0,1,11,5,0,0,0,7,14,17,5,0,0,0,0,0,0,0,96,5395,4273.31,1121.69,0.207913,0
Raw walnut - shelled,WalnutShelledRaw-KG,,NGS,Auf,Nuts,,0,0,0,0,0,0,0,0,2,12,15,5,9,2,7,3,3,3,6,3,9,1,2,4,2,4,4,3,5,12,3,4,16,1,0,0,0,0,0,0,140,5212.85,3834.31,1378.54,0.26445,0
veal Picatta,VealPicatta,,NGS,Butcher,Fresh veal,,0,0,0,0,0,0,0,0,2,1,8,4,1,5,2,7,0,1,1,2,2,1,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5200,3985,1215,0.233654,0
Beef escalope (chemical free) - frozen,Beefescalopechemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,13,2,19,34,7,0,0,0,0,0,0,0,95,5012,3468.74,1543.26,0.307913,0
Oats with spirulina and barley grass (organic) ? super food,221014,,,Good life,Cereal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,105,33,195,4827.23943,3061.24,1765.99943,0.36584,0
