Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-09-01,140.0,27.02,5.078827542704278,27.596580275056393,7.018180397764071,0.006218854001017628,407.309233987014,0.004719526305783573
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-10-01,60.0,11.58,5.078827542704278,27.596580275056393,7.018180397764071,0.002665223143293269,117.41824313729173,0.0020226541310501027
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-01-01,52.0,7.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.002309860057520833,88.4291440523195,0.001222675208752221
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-02-01,52.0,7.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.002309860057520833,88.4291440523195,0.001222675208752221
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-04-01,52.0,7.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.002309860057520833,88.4291440523195,0.001222675208752221
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-05-01,104.0,14.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.004619720115041666,276.858288104639,0.002445350417504442
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-06-01,52.0,7.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.002309860057520833,88.4291440523195,0.001222675208752221
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,2013-09-01,104.0,14.0,5.4766076481646655,27.596580275056393,7.018180397764071,0.004619720115041666,276.858288104639,0.002445350417504442
BENTONITE CLAY SOAP,0,Cosmetics,2015-05-01,100.0,100.0,10.379166251105133,27.596580275056393,7.018180397764071,0.004442038572155449,262.3637385621529,0.0174667886964603
BENTONITE CLAY SOAP,0,Cosmetics,2015-07-01,25.0,7.5,10.379166251105133,27.596580275056393,7.018180397764071,0.0011105096430388622,-9.40906535946178,0.0013100091522345225
BENTONITE CLAY SOAP,0,Cosmetics,2015-08-01,25.0,7.5,10.379166251105133,27.596580275056393,7.018180397764071,0.0011105096430388622,-9.40906535946178,0.0013100091522345225
BENTONITE CLAY SOAP,0,Cosmetics,2015-09-01,25.0,7.5,10.379166251105133,27.596580275056393,7.018180397764071,0.0011105096430388622,-9.40906535946178,0.0013100091522345225
BENTONITE CLAY SOAP,0,Cosmetics,2015-10-01,50.0,15.0,10.379166251105133,27.596580275056393,7.018180397764071,0.0022210192860777243,81.18186928107644,0.002620018304469045
BENTONITE CLAY SOAP,0,Cosmetics,2015-11-01,71.318115,18.818115,10.379166251105133,27.596580275056393,7.018180397764071,0.003167978177234181,158.43098778605557,0.0032869203837069
BERRY MIX ( FROZEN ),0,Fruits,2015-06-01,281.0,84.0,20.448646162677363,27.596580275056393,7.018180397764071,0.01248212838775681,918.2421053596496,0.014672102505026652
BERRY MIX ( FROZEN ),0,Fruits,2015-07-01,295.0,91.0,20.448646162677363,27.596580275056393,7.018180397764071,0.013104013787858573,968.973028758351,0.01589477771377887
BERRY MIX ( FROZEN ),0,Fruits,2015-08-01,472.0,148.0,20.448646162677363,27.596580275056393,7.018180397764071,0.020966422060573718,1610.3568460133615,0.025850847270761243
BERRY MIX ( FROZEN ),0,Fruits,2015-11-01,513.460751,117.460751,20.448646162677363,27.596580275056393,7.018180397764071,0.02280812461229904,1760.5955733729065,0.02051662117844538
BERRY MIX ( FROZEN ),0,Fruits,2015-12-01,244.571698,24.571698,20.448646162677363,27.596580275056393,7.018180397764071,0.010863969161735536,786.239148337738,0.004291886568792362
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-03-01,212.0,43.0,12.364517793937877,27.596580275056393,7.018180397764071,0.00941712177296955,668.211125751764,0.007510719139477929
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-04-01,53.0,10.75,12.364517793937877,27.596580275056393,7.018180397764071,0.0023542804432423875,92.05278143794102,0.0018776797848694823
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-05-01,106.0,21.5,12.364517793937877,27.596580275056393,7.018180397764071,0.004708560886484775,284.1055628758821,0.0037553595697389646
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-06-01,390.0,78.18,12.364517793937877,27.596580275056393,7.018180397764071,0.01732395043140625,1313.2185803923962,0.013655535402892664
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-07-01,65.0,13.03,12.364517793937877,27.596580275056393,7.018180397764071,0.0028873250719010416,135.53643006539937,0.0022759225671487773
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,2014-08-01,539.0,115.5,12.364517793937877,27.596580275056393,7.018180397764071,0.02394258790391787,1853.140550850004,0.020174140944411646
